!9/11/2017.2:20:37.PM
!RF.CORRECTION.OFF
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S21               	S12               	S21               	S22               
!GRAPH:       	LOGMAG.PHASE      	LOGMAG            	LOGMAG            	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
PNT	FREQ1.GHZ	LOGMAG1	PHASE1.DEG	FREQ2.GHZ	LOGMAG2	FREQ3.GHZ	LOGMAG3	FREQ4.GHZ	LOGMAG4
130	0.028459375	2.083306E+001	-120.4474000	0.028459375	-7.062138E+001	0.028459375	2.083306E+001	0.028459375	3.505787E+000
131	0.028691052	2.083941E+001	-121.4413000	0.028691052	-6.750176E+001	0.028691052	2.083941E+001	0.028691052	3.551160E+000
132	0.028924616	2.084705E+001	-122.4308000	0.028924616	-7.348727E+001	0.028924616	2.084705E+001	0.028924616	3.596183E+000
133	0.029160081	2.085152E+001	-123.4033000	0.029160081	-6.511866E+001	0.029160081	2.085152E+001	0.029160081	3.640898E+000
134	0.029397463	2.085889E+001	-124.4007000	0.029397463	-6.931355E+001	0.029397463	2.085889E+001	0.029397463	3.684417E+000
135	0.029636778	2.086821E+001	-125.3902000	0.029636778	-6.876567E+001	0.029636778	2.086821E+001	0.029636778	3.728878E+000
136	0.029878041	2.087366E+001	-126.4100000	0.029878041	-6.603618E+001	0.029878041	2.087366E+001	0.029878041	3.773557E+000
137	0.030121267	2.088035E+001	-127.4414000	0.030121267	-7.534059E+001	0.030121267	2.088035E+001	0.030121267	3.821971E+000
138	0.030366474	2.087986E+001	-128.4813000	0.030366474	-7.570308E+001	0.030366474	2.087986E+001	0.030366474	3.859748E+000
139	0.030613677	2.089164E+001	-129.5030000	0.030613677	-7.541930E+001	0.030613677	2.089164E+001	0.030613677	3.904629E+000
140	0.030862892	2.089828E+001	-130.5591000	0.030862892	-6.416763E+001	0.030862892	2.089828E+001	0.030862892	3.939961E+000
141	0.031114136	2.090763E+001	-131.6428000	0.031114136	-7.731655E+001	0.031114136	2.090763E+001	0.031114136	3.990489E+000
142	0.031367425	2.090781E+001	-132.7060000	0.031367425	-6.436003E+001	0.031367425	2.090781E+001	0.031367425	4.034860E+000
143	0.031622777	2.091952E+001	-133.7817000	0.031622777	-7.635153E+001	0.031622777	2.091952E+001	0.031622777	4.076517E+000
144	0.031880207	2.093034E+001	-134.8873000	0.031880207	-6.959375E+001	0.031880207	2.093034E+001	0.031880207	4.118465E+000
145	0.032139732	2.093418E+001	-135.9774000	0.032139732	-6.864790E+001	0.032139732	2.093418E+001	0.032139732	4.165163E+000
146	0.032401371	2.094251E+001	-137.0793000	0.032401371	-7.468337E+001	0.032401371	2.094251E+001	0.032401371	4.209397E+000
147	0.032665139	2.094876E+001	-138.2081000	0.032665139	-7.042712E+001	0.032665139	2.094876E+001	0.032665139	4.249091E+000
148	0.032931054	2.095737E+001	-139.3117000	0.032931054	-7.751035E+001	0.032931054	2.095737E+001	0.032931054	4.290251E+000
149	0.033199134	2.096536E+001	-140.4561000	0.033199134	-7.202852E+001	0.033199134	2.096536E+001	0.033199134	4.335570E+000
150	0.033469397	2.096883E+001	-141.5779000	0.033469397	-6.763936E+001	0.033469397	2.096883E+001	0.033469397	4.382339E+000
151	0.033741860	2.097771E+001	-142.7627000	0.033741860	-7.478147E+001	0.033741860	2.097771E+001	0.033741860	4.419829E+000
152	0.034016540	2.098410E+001	-143.8980000	0.034016540	-6.752428E+001	0.034016540	2.098410E+001	0.034016540	4.467611E+000
153	0.034293457	2.099706E+001	-145.1257000	0.034293457	-6.857848E+001	0.034293457	2.099706E+001	0.034293457	4.515447E+000
154	0.034572628	2.100163E+001	-146.2764000	0.034572628	-6.891656E+001	0.034572628	2.100163E+001	0.034572628	4.556689E+000
155	0.034854072	2.100865E+001	-147.4984000	0.034854072	-7.921956E+001	0.034854072	2.100865E+001	0.034854072	4.590246E+000
156	0.035137807	2.101978E+001	-148.6828000	0.035137807	-6.827477E+001	0.035137807	2.101978E+001	0.035137807	4.633270E+000
157	0.035423851	2.102246E+001	-149.9233000	0.035423851	-6.974881E+001	0.035423851	2.102246E+001	0.035423851	4.675801E+000
158	0.035712224	2.103329E+001	-151.1155000	0.035712224	-6.866696E+001	0.035712224	2.103329E+001	0.035712224	4.721261E+000
159	0.036002945	2.104365E+001	-152.3616000	0.036002945	-7.179524E+001	0.036002945	2.104365E+001	0.036002945	4.756267E+000
160	0.036296032	2.104770E+001	-153.6316000	0.036296032	-7.749223E+001	0.036296032	2.104770E+001	0.036296032	4.797201E+000
161	0.036591506	2.105322E+001	-154.8738000	0.036591506	-6.913885E+001	0.036591506	2.105322E+001	0.036591506	4.835409E+000
162	0.036889384	2.106262E+001	-156.1373000	0.036889384	-7.999402E+001	0.036889384	2.106262E+001	0.036889384	4.870728E+000
163	0.037189688	2.106653E+001	-157.4186000	0.037189688	-7.607284E+001	0.037189688	2.106653E+001	0.037189688	4.904559E+000
164	0.037492436	2.107436E+001	-158.6823000	0.037492436	-7.069837E+001	0.037492436	2.107436E+001	0.037492436	4.927742E+000
165	0.037797649	2.108566E+001	-159.9857000	0.037797649	-6.920985E+001	0.037797649	2.108566E+001	0.037797649	4.955115E+000
166	0.038105347	2.108875E+001	-161.2920000	0.038105347	-6.758418E+001	0.038105347	2.108875E+001	0.038105347	4.980686E+000
167	0.038415549	2.109969E+001	-162.5599000	0.038415549	-6.649531E+001	0.038415549	2.109969E+001	0.038415549	5.003226E+000
168	0.038728276	2.109905E+001	-163.8908000	0.038728276	-6.988122E+001	0.038728276	2.109905E+001	0.038728276	5.019971E+000
169	0.039043550	2.110934E+001	-165.2186000	0.039043550	-6.986901E+001	0.039043550	2.110934E+001	0.039043550	5.034410E+000
170	0.039361390	2.111776E+001	-166.5347000	0.039361390	-6.638730E+001	0.039361390	2.111776E+001	0.039361390	5.046688E+000
