!9/13/2017.11:18:21.AM
!RF.CORRECTION: 12.TERM.CAL
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S11               	S12               	S21               	S22               
!GRAPH:       	LOGMAG            	LOGMAG            	LOGMAG.PHASE      	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
PNT	FREQ1.GHZ	LOGMAG1	FREQ2.GHZ	LOGMAG2	FREQ3.GHZ	LOGMAG3	PHASE3.DEG	FREQ4.GHZ	LOGMAG4
55	0.001452112	-3.220996E+001	0.001452112	-8.241287E+001	0.001452112	-5.957847E+000	179.9456000	0.001452112	-3.017201E+001
56	0.001462177	-3.217534E+001	0.001462177	-8.302896E+001	0.001462177	-5.961170E+000	179.9294000	0.001462177	-3.017741E+001
57	0.001472313	-3.216082E+001	0.001472313	-7.968784E+001	0.001472313	-5.959393E+000	179.8696000	0.001472313	-3.014296E+001
58	0.001482518	-3.217847E+001	0.001482518	-7.939545E+001	0.001482518	-5.959215E+000	179.8937000	0.001482518	-3.015188E+001
59	0.001492794	-3.211553E+001	0.001492794	-8.558031E+001	0.001492794	-5.954452E+000	179.8556000	0.001492794	-3.015980E+001
60	0.001503142	-3.225075E+001	0.001503142	-8.080357E+001	0.001503142	-5.945519E+000	179.9053000	0.001503142	-3.020695E+001
61	0.001513561	-3.215116E+001	0.001513561	-7.977586E+001	0.001513561	-5.958874E+000	179.8511000	0.001513561	-3.021555E+001
62	0.001524053	-3.215638E+001	0.001524053	-8.346278E+001	0.001524053	-5.956264E+000	179.8870000	0.001524053	-3.020090E+001
63	0.001534617	-3.217117E+001	0.001534617	-8.624126E+001	0.001534617	-5.957140E+000	179.8312000	0.001534617	-3.022000E+001
64	0.001545254	-3.217696E+001	0.001545254	-8.173736E+001	0.001545254	-5.952467E+000	179.8602000	0.001545254	-3.023316E+001
65	0.001555966	-3.212980E+001	0.001555966	-7.956365E+001	0.001555966	-5.960395E+000	179.7944000	0.001555966	-3.023438E+001
66	0.001566751	-3.216671E+001	0.001566751	-9.285524E+001	0.001566751	-5.957445E+000	179.8034000	0.001566751	-3.023370E+001
67	0.001577611	-3.214334E+001	0.001577611	-8.356895E+001	0.001577611	-5.958656E+000	179.8060000	0.001577611	-3.022892E+001
68	0.001588547	-3.214672E+001	0.001588547	-9.575046E+001	0.001588547	-5.954082E+000	179.7976000	0.001588547	-3.024526E+001
69	0.001599558	-3.215025E+001	0.001599558	-8.435399E+001	0.001599558	-5.959314E+000	179.8135000	0.001599558	-3.026624E+001
70	0.001610646	-3.212785E+001	0.001610646	-9.051574E+001	0.001610646	-5.964306E+000	179.7760000	0.001610646	-3.025103E+001
71	0.001621810	-3.214592E+001	0.001621810	-8.482245E+001	0.001621810	-5.964164E+000	179.8167000	0.001621810	-3.028046E+001
72	0.001633052	-3.218219E+001	0.001633052	-8.864099E+001	0.001633052	-5.951562E+000	179.7352000	0.001633052	-3.026612E+001
73	0.001644372	-3.218127E+001	0.001644372	-8.836906E+001	0.001644372	-5.956726E+000	179.7564000	0.001644372	-3.028955E+001
74	0.001655770	-3.216439E+001	0.001655770	-8.688953E+001	0.001655770	-5.955536E+000	179.7729000	0.001655770	-3.027674E+001
75	0.001667247	-3.216271E+001	0.001667247	-8.430179E+001	0.001667247	-5.959854E+000	179.7721000	0.001667247	-3.033568E+001
76	0.001678804	-3.217237E+001	0.001678804	-8.712393E+001	0.001678804	-5.955958E+000	179.7555000	0.001678804	-3.029219E+001
